pBug,epsilon,failed,passed,runtime
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.56
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.55
0.25,0.05,7,19,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.57
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,7,19,0.56
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.56
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,7,19,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.57
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.57
0.25,0.05,6,20,0.56
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,8,18,0.55
0.25,0.05,8,18,0.54
0.25,0.05,8,18,0.58
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.56
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.54
0.25,0.05,7,19,0.55
0.25,0.05,8,18,0.56
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.57
0.25,0.05,8,18,0.56
0.25,0.05,9,17,0.53
0.25,0.05,7,19,0.55
0.25,0.05,9,17,0.57
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,7,19,0.55
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.59
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.57
0.25,0.05,8,18,0.55
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.56
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.56
0.25,0.05,8,18,0.55
0.25,0.05,7,19,0.53
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,7,19,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,8,18,0.54
0.25,0.05,7,19,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.55
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.57
0.25,0.05,8,18,0.59
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.59
0.25,0.05,9,17,0.55
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.57
0.25,0.05,8,18,0.56
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.60
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.57
0.25,0.05,9,17,0.59
0.25,0.05,9,17,0.68
0.25,0.05,9,17,0.72
0.25,0.05,9,17,0.64
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.54
0.25,0.05,7,19,0.54
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.56
0.25,0.05,7,19,0.57
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.55
0.25,0.05,9,17,0.56
0.25,0.05,7,19,0.53
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.53
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.52
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.53
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.54
0.25,0.05,8,18,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.54
0.25,0.05,9,17,0.53
0.25,0.05,9,17,0.55
